Label,Volume,Elongation,Flatness,Radius,CentroidX,CentroidY,CentroidZ,IntensitySkewness, IntensityMean, IntensitySTD, IntensityKurtosis, Axis1length, Axis2length, Axis3length
65496,210,1.04007076432277,1.65195523587272,3.68731490126433,168.680952380952,442.514285714286,1144.74285714286,1.0039024743924,0.00124499104650957,0.000309639097419867,0.227750960987773,5.20859286093093,8.60436224814411,8.94914561993724
64,243,1.18115258594797,1.31808535671172,3.87114306222645,298.172839506173,569.654320987654,1148.74485596708,1.74470147647246,0.00188185730632854,0.000388024076979337,3.65936556308865,6.09263075680533,8.03060738439652,9.48537267881284
214,155,1.46377486121435,2.4710816896309,3.33232764689714,433.354838709677,913.006451612903,1153.23870967742,0.998088788836376,0.000630134334900386,0.000438556617861135,-0.102898851245201,3.21140339435136,7.93564012580017,11.6159905237902
315,222,1.14439893959277,1.40217612468068,3.75625258638806,295.094594594595,575.509009009009,1159,1.39464938401858,0.00183589049554136,0.000439246996380763,1.47948051849805,5.73311416175057,8.03883579767536,9.19963516242007
362,328,1.26886002055769,1.23461449078262,4.2782065155984,399.594512195122,517.146341463415,1162.68902439024,1.02584104237488,0.0012521156145007,0.00040586390548854,0.196884666074583,6.86751456544957,8.47873299816474,10.7583253263544
372,205,1.63191740579738,1.23291346694573,3.6578151182944,607.551219512195,762.063414634146,1161.03902439024,1.17085302956365,0.00128539527238278,0.000302851308481848,1.50890309339185,5.40419017825436,6.66289884870566,10.8733006042701
396,155,1.25220786604555,1.93596085237573,3.33232764689714,573.18064516129,702.593548387097,1162.10967741935,0.667159295556927,0.000907131334890672,0.000413440989405712,0.0275498406255457,3.98065465873668,7.7063915861413,9.65000416299338
417,131,1.19192419595273,1.20633101923091,3.15060696517646,186.946564885496,460.458015267176,1162.32061068702,1.08414707483106,0.00158022743879057,0.0004469868186553,0.551510641219017,5.24441457384823,6.3264999781398,7.54070839963923
461,142,1.14887267759299,1.32452694302368,3.23643268397037,197.492957746479,432.887323943662,1164.8661971831,0.576931960312402,0.00137483893318141,0.000397138173508341,-0.607470122279052,5.12427083537564,6.78723478480551,7.79766860067181
470,347,1.21374540602027,1.33767199743274,4.35926852539773,493.665706051873,636.06916426513,1165.37175792507,0.539589985543743,0.00132487797458798,0.000426597506755008,-0.719513659615045,6.73237027738056,9.00570319640046,10.9306308826131
606,102,1.33120529690501,1.25538009733347,2.89848142027855,314.147058823529,715.186274509804,1171.3431372549,0.769388144441126,0.00132037114863302,0.000421943236260751,-0.104729328012153,4.52830160137497,5.6847397050894,7.5675556069412
636,128,1.67666416885651,1.32886714532082,3.12637056718709,203.4765625,433.78125,1172.5,0.716579453753434,0.00157025320095272,0.000307887178274097,-0.435085792735179,4.35445739067151,5.78649536216281,9.70200943699273
675,150,1.60911773291876,1.35892045741301,3.29610382525443,598.526666666667,801.4,1173.52666666667,0.5321996546831,0.000820075405063108,0.00029986666797886,-0.763160189845144,4.58534742944248,6.23112242621556,10.0266095920112
687,379,1.40661406930397,1.32382579495593,4.48935070542453,178.923482849604,450.981530343008,1174.91820580475,0.820449471455883,0.00162760785084812,0.000439291327129837,0.0169604632556548,6.6466271536156,8.79897647541086,12.3767641057876
831,324,1.2536349658457,1.32657589310052,4.26074425384497,183.413580246914,414.641975308642,1184.12345679012,0.6028389313043,0.00115989037159899,0.000349710109631514,-0.121347477223646,6.54591502237426,8.68365306696627,10.8861311160222
836,252,1.20371834697039,1.25509861800781,3.91835677710327,293.416666666667,566.103174603175,1182.79365079365,1.33786612120516,0.0017992315304813,0.000441073136014466,1.70388043796865,6.33150729930973,7.94666606127001,9.56554773519759
915,283,1.24629850342695,1.29021873406888,4.07285806296218,392.936395759717,575.508833922262,1186.51590106007,0.639811964265517,0.001654979970525,0.000369996837063328,-0.176799789522947,6.38674658091802,8.24030008845079,10.2698736680252
1019,199,1.05341737082699,1.26114898487484,3.62177518707041,506.43216080402,753.015075376884,1193.57286432161,1.06763155459253,0.00118069072024681,0.00030171718107006,0.667066377941956,6.09874389531958,7.69142467259393,8.10228035651773
