Label,Volume,Elongation,Flatness,Radius,CentroidX,CentroidY,CentroidZ,IntensitySkewness, IntensityMean, IntensitySTD, IntensityKurtosis, Axis1length, Axis2length, Axis3length
71285,118,1.20482870825374,1.43902673949962,3.04273735318775,311.610169491525,762.135593220339,1435.18644067797,0.765206112681123,0.00127849129464683,0.000321895343678727,0.396829898196429,4.4868351826303,6.45667580353267,7.77918836798345
3,295,1.52306174461279,1.20437654780312,4.12962993708209,271.193220338983,158.959322033898,302.233898305085,0.666095139744701,0.00141670548029528,0.000449263735878651,-0.24600805991827,6.34152586056099,7.63758502374665,11.6325135708961
11,215,1.27292718854121,1.70511531580236,3.71635007232417,292.548837209302,172.841860465116,302.13023255814,0.701339272700331,0.00126939926399351,0.000288995867034154,0.534311755332154,4.8051791951601,8.19338464084234,10.4295820755042
22,121,1.12088596350649,1.64516476305446,3.06830777345069,381.867768595041,185.272727272727,300.099173553719,0.560768935377983,0.00120506147480731,0.000429427131234378,-0.542700217223338,4.23905293440745,6.97394051640976,7.81699203517291
27,160,1.18500701952701,1.47591629801249,3.36778060192126,190.8375,190.06875,301.325,0.641500404664617,0.00110129150543798,0.000433035080133223,-0.0368747886123044,4.91012249483128,7.24692981535925,8.58766270122026
29,131,1.57651455592539,1.34942618664836,3.15060696517646,265.572519083969,192.099236641221,300.557251908397,0.7527769744017,0.00147513431303189,0.000420279798971693,-0.00962659737079274,4.4336234654006,5.98284760595022,9.43204633666387
35,277,1.56638747465355,1.29717862598346,4.04386876679607,231.657039711191,199.87725631769,302.119133574007,0.550642365769144,0.00117281296173622,0.000334804697119778,-0.144153063989123,5.85500754391415,7.59499064093737,11.8966982100752
46,166,1.22058086017834,1.88757841122081,3.40936233980661,198.042168674699,213.469879518072,300.367469879518,0.658054569407044,0.00115485989586142,0.000447388240909482,0.410719394433757,4.17744719623327,7.88525914162482,9.62459638581355
61,124,1.53810987600727,1.39363519892008,3.09345895915539,409.532258064516,238.282258064516,300.056451612903,0.702631301179499,0.00133730309889577,0.000351867293645103,0.192451085558092,4.29581756607615,5.98680256822292,9.20836015588938
65,148,1.53950585277449,1.60631763583769,3.2813888800838,453.331081081081,248.587837837838,300.493243243243,0.556464746493147,0.00156822003309325,0.000424666599326751,-0.575409824716915,4.14387167443505,6.65637415129327,10.2475269641728
